id,section,year,authors_raw,title,venue,publisher,doi,is_oa,has_oa_url,best_oa_url,oa_fetch_status,share_status,share_version,embargo_months,policy_pattern,policy_url
contributions-to-edited-volumes-009,Contributions to Edited Volumes,2016,"Keenan, S., Rosenberg, J. M., Greenhalgh, S. P. & Koehler, M. J",Examining teachers' technology use through digital portfolios,In L,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
contributions-to-edited-volumes-010,Contributions to Edited Volumes,2016,"Phillips, M., Koehler, M. J. & Rosenberg, J. M",Considering context: Teachers' TPACK development and enactment,In L,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
contributions-to-edited-volumes-011,Contributions to Edited Volumes,2015,"Rosenberg, J. M., & Koehler, M. J",Context and teaching with technology in the digital age,In M,IGI Global,10.4018/978-1-4666-8403-4.ch017,FALSE,FALSE,NA,NA,yes,AM,6,igi global,https://www.igi-global.com/about/rights-permissions/
contributions-to-edited-volumes-012,Contributions to Edited Volumes,2015,"Rosenberg, J. M., Greenhalgh, S. P., & Koehler, M. J",A performance assessment of teachers' TPACK using artifacts from digital portfolios,In L,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
contributions-to-edited-volumes-013,Contributions to Edited Volumes,2013,"Koehler, M. J., Mishra, P., Akcaoglu, M., & Rosenberg, J. M",Technological pedagogical content knowledge for teachers and teacher educators,In N,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-001,Papers Published in Refereed Conference Proceedings,2025,"Chen, C., Zhao, Y., Rosenberg, J. M., & Hodge, L. L",Mapping the Research Landscape of Culturally Relevant Pedagogy in Computing Education: A Topic Modeling Approach,In *Proceedings of the 2025 ACM Conference on International Computing Education Research* V,ACM,10.1145/3702653.3744322,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-003,Papers Published in Refereed Conference Proceedings,2024,"Lishinski, A., Bao, H., & Rosenberg, J",Self-efficacy Interventions for CS1,In *Proceedings of the 55th ACM Technical Symposium on Computer Science Education V,ACM,10.1145/3626253.3635348,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-006,Papers Published in Refereed Conference Proceedings,2022,"Thomas, T., Rosenberg, J. M., Penner, E. & Burchfield, M","Racism and school districts' social media posts: ""Is it being talked about?""",Proceedings for the *Social Media and Society* conference,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-008,Papers Published in Refereed Conference Proceedings,2022,"Lishinski, A., Narvaiz, S., and Rosenberg, J. M","Self-efficacy, interest, and belongingness – URM Students' momentary experiences in CS1",Proceedings of the 2022 ACM Conference on International Computing Education Research,ACM,10.1145/3501385.3543958,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-009,Papers Published in Refereed Conference Proceedings,2022,"Carpenter, J., Morrison, S., Rosenberg, J., & Hawthorne, K",Professional learning networks for pre-service teachers: A social network analysis of a program-wide teacher education Twitter hashtag,In *Society for Information Technology & Teacher Education International Conference,AERA,10.3102/1894161,FALSE,FALSE,NA,NA,yes,AM,0,informa|taylor.*francis|routledge|tandf,https://authorservices.taylorandfrancis.com/research-impact/sharing-versions-of-journal-articles/
papers-published-in-refereed-conference-proceedings-010,Papers Published in Refereed Conference Proceedings,2021,"Borchers, C., Rosenberg, J., Gibbons, B., Burchfield, M., & Fischer, C",To scale or not to scale: Comparing popular sentiment analysis dictionaries on educational Twitter data,In I,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-012,Papers Published in Refereed Conference Proceedings,2021,"Lishinski, A., & Rosenberg, J",All the pieces matter: The relationship of momentary self-efficacy and affective experiences with CS1 achievement and interest in computing,Proceedings of the 17th ACM Conference on International Computing Education Research,ACM,10.1145/3446871.3469740,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-015,Papers Published in Refereed Conference Proceedings,2021,"Kubsch, M., Rosenberg. J. M., & Krist, C",Beyond supervision: Human / machine distributed learning in learning sciences research,In E,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-018,Papers Published in Refereed Conference Proceedings,2021,"Lishinski, A., & Rosenberg, J. M",How CS1 students experienced COVID-19 in the moment: using an experience sampling approach to understand the transition to emergency remote instruction,In *Proceedings of the 51st ACM Technical Symposium on Computer Science Education,ACM,10.1145/3408877.3439657,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-019,Papers Published in Refereed Conference Proceedings,2021,"+Mann, M., \^Bui, H., \^Gibbons, B., +Lishinski, A., Dyer, E., & Rosenberg, J. M","""Not my subject""?: A survey of teachers regarding the implementation of new K-8 computing education standards",In *Proceedings of the 51st ACM Technical Symposium on Computer Science Education,ACM,10.1145/3408877.3439666,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-020,Papers Published in Refereed Conference Proceedings,2020,"Rosenberg, J. M., +Schmidt, A., Rosenberg, A. M., +Longnecker, J., & +Mann M",Becoming 'tidier' over time,Studying #tidytuesday as a social media-based context for learning to visualize data,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-024,Papers Published in Refereed Conference Proceedings,2020,"Rosenberg, J. M",More confidently uncertain?,Teaching learners to apply Bayesian methods to make sense of scientific phenomena,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-025,Papers Published in Refereed Conference Proceedings,2020,"Lishinski, A., & Rosenberg, J",Accruing interest: What experiences contribute to students developing a sustained interest in computer science over time?,In *Proceedings of the 51st ACM Technical Symposium on Computer Science Education,ACM,10.1145/3328778.3372568,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-026,Papers Published in Refereed Conference Proceedings,2020,"Rosenberg, J., & Lishinski, A",Variable interest rate: What experiences explain differences in interest in computer science among students?,In *Proceedings of the 51st ACM Technical Symposium on Computer Science Education,ACM,10.1145/3328778.3372537,FALSE,FALSE,NA,NA,yes,AM,0,acm|association for computing machinery,https://authors.acm.org/author-resources/author-rights
papers-published-in-refereed-conference-proceedings-027,Papers Published in Refereed Conference Proceedings,2019,"Carpenter, J., Rosenberg, J. M., Dousay, T., Romero-Hall, E., Trust, T., Kessler, A., Phillips, M., Morrison, S., Fischer, C. & Krutka, D",What do teacher educators think of teacher education technology competencies?,In K,Elsevier BV,10.1016/j.tate.2020.103124,FALSE,FALSE,NA,NA,yes,AM,0,elsevier,https://www.elsevier.com/about/policies/sharing
papers-published-in-refereed-conference-proceedings-028,Papers Published in Refereed Conference Proceedings,2017,"Peterson, A., Freer, D., & Rosenberg, J. M",Interacting with purpose: What is the difference between face-to-face and online student relationships in a combined program?,In *Proceedings of Society for Information Technology & Teacher Education International Conference,NA,NA,NA,FALSE,NA,NA,yes,AM,0,informa|taylor.*francis|routledge|tandf,https://authorservices.taylorandfrancis.com/research-impact/sharing-versions-of-journal-articles/
papers-published-in-refereed-conference-proceedings-029,Papers Published in Refereed Conference Proceedings,2016,"Krist, C., & Rosenberg, J. M",Finding patterns in and refining characterizations of students' epistemic cognition: A computational approach,In Looi,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-030,Papers Published in Refereed Conference Proceedings,2016,"Rosenberg, J. M., Koehler, M. J., Akcaoglu, M., Greenhalgh, S. P. & Hamilton, E",State Educational Twitter Hashtags: An introduction and research agenda,In *Proceedings of Society for Information Technology & Teacher Education International Conference,NA,NA,NA,FALSE,NA,NA,yes,AM,0,informa|taylor.*francis|routledge|tandf,https://authorservices.taylorandfrancis.com/research-impact/sharing-versions-of-journal-articles/
papers-published-in-refereed-conference-proceedings-031,Papers Published in Refereed Conference Proceedings,2016,"Greenhalgh, S. P., Rosenberg, J. M. & Wolf, L. G",For every tweet there is a purpose: Twitter within (and beyond) an online graduate program,In *Proceedings of Society for Information Technology & Teacher Education International Conference,NA,NA,NA,FALSE,NA,NA,yes,AM,0,informa|taylor.*francis|routledge|tandf,https://authorservices.taylorandfrancis.com/research-impact/sharing-versions-of-journal-articles/
papers-published-in-refereed-conference-proceedings-033,Papers Published in Refereed Conference Proceedings,2014,"Rosenberg, J. M., & Koehler, M",Context and Technological Pedagogical Content Knowledge: A content analysis,In M,Informa UK Limited,10.1080/15391523.2015.1052663,FALSE,FALSE,NA,NA,yes,AM,0,informa|taylor.*francis|routledge|tandf,https://authorservices.taylorandfrancis.com/research-impact/sharing-versions-of-journal-articles/
papers-published-in-refereed-conference-proceedings-034,Papers Published in Refereed Conference Proceedings,2014,"Greenhalgh, S. P., Rosenberg, J. M., Zellner, A. & Koehler, M. J",Zen and the art of portfolio maintenance: Best practices in course design for supporting long-lasting portfolios,In M,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-035,Papers Published in Refereed Conference Proceedings,2014,"Rosenberg, J., Terry, C., Bell, J., Hiltz, V., Russo, T. & The EPET Social Media Council",What we've got here is failure to communicate: Social media best practices for graduate school programs,In M,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
papers-published-in-refereed-conference-proceedings-036,Papers Published in Refereed Conference Proceedings,2013,"Rosenberg, J",Review of mobile device use policies in public high schools,In R,NA,NA,NA,FALSE,NA,NA,yes-default,AM,0,NA,NA
