pdf_path,pdf_kind,pdf_file,pdf_year,match_id,match_title,match_year,score,runner_up,confidence,reasons
pdf/salvaged/pre-prints/in-press-dai-et-al-routledge.pdf,pre-prints,in-press-dai-et-al-routledge.pdf,NA,NA,NA,NA,3,1,none,first-author
pdf/salvaged/pre-prints/mikeska-et-al-2017-narst.pdf,pre-prints,mikeska-et-al-2017-narst.pdf,2017,NA,NA,NA,3,3,none,year
pdf/salvaged/pre-prints/rosenberg-edwards-chen-tst.pdf,pre-prints,rosenberg-edwards-chen-tst.pdf,NA,articles-published-in-refereed-journals-050,Getting messy with data: Tools and strategies to help students analyze and interpret complex data sources,2020,15,4,high,first-author;coauth:chen;venue:tst;pdf-title
pdf/salvaged/pre-prints/rosenberg-et-al-2018-joss.pdf,pre-prints,rosenberg-et-al-2018-joss.pdf,2018,articles-published-in-refereed-journals-055,tidyLPA: An R package to easily carry out Latent Profile Analysis (LPA) using open-source or commercial software,2018,17,6,high,year;first-author;venue:joss;pdf-title
pdf/salvaged/pre-prints/rosenberg-et-al-data-science-in-and-for-education-research-methods-in-ldt.pdf,pre-prints,rosenberg-et-al-data-science-in-and-for-education-research-methods-in-ldt.pdf,NA,contributions-to-edited-volumes-005,Making data science count in and for education,2020,17,8,high,"first-author;title:data,science;pdf-title"
pdf/salvaged/pre-prints/rosenberg-et-al-making-data-science-count.pdf,pre-prints,rosenberg-et-al-making-data-science-count.pdf,NA,contributions-to-edited-volumes-005,Making data science count in and for education,2020,19,8,high,"first-author;title:making,data,science,count;pdf-title"
pdf/salvaged/pre-prints/rosenberg-lawson-2019-es.pdf,pre-prints,rosenberg-lawson-2019-es.pdf,2019,articles-published-in-refereed-journals-054,An investigation of students' use of a computational science simulation in an online high school physics class,2019,6,4,high,year;first-author
pdf/salvaged/pre-prints/schmidt-et-al-jrst-2020.pdf,pre-prints,schmidt-et-al-jrst-2020.pdf,2020,articles-published-in-refereed-journals-047,"Experiences, activities, and personal characteristics as predictors of engagement in STEM-focused summer programs",2020,7,4,high,year;first-author;venue:jrst
pdf/salvaged/pre-prints/tidylpa-intro.pdf,pre-prints,tidylpa-intro.pdf,NA,NA,NA,NA,2,0,none,title:tidylpa
pdf/salvaged/publications/ICLS-2020-Volume-5.pdf,publications,ICLS-2020-Volume-5.pdf,2020,NA,NA,NA,3,3,none,year
pdf/salvaged/publications/Schwarz_Ke_Lee_Rosenberg_2014.pdf,publications,Schwarz_Ke_Lee_Rosenberg_2014.pdf,2014,papers-published-in-refereed-conference-proceedings-032,Developing mechanistic explanations of phenomena: Case studies of two fifth grade students' epistemologies in practice over time,2014,8,6,high,"year;first-author;coauth:lee,rosenberg"
pdf/salvaged/publications/blondel-et-al-2019.pdf,publications,blondel-et-al-2019.pdf,2019,articles-published-in-refereed-journals-052,Development of an online experiment platform (Rex) for high school biology,2019,6,3,high,year;first-author
pdf/salvaged/publications/blondel-et-al-jfdl-2019-oa.pdf,publications,blondel-et-al-jfdl-2019-oa.pdf,2019,articles-published-in-refereed-journals-052,Development of an online experiment platform (Rex) for high school biology,2019,6,3,high,year;first-author
pdf/salvaged/publications/dangelo-et-al-icls-2020.pdf,publications,dangelo-et-al-icls-2020.pdf,2020,papers-published-in-refereed-conference-proceedings-022,Advancing computational grounded theory for audiovisual data from mathematics classrooms,2020,6,3,high,year;first-author
