id,section,idx_in_section,citation_raw,year,year_paren,authors_raw,url,doi,title,venue,note
articles-published-in-refereed-journals-016,Articles Published in Refereed Journals,16,"Hodge, E. M., Rosenberg, J. M., & López, F. A. (2023). ""We Don't Teach Critical Race Theory Here"": A sentiment analysis of K-12 school and district social media Statements. *Peabody Journal of Education*, 1-15. <https://www.tandfonline.com/doi/full/10.1080/0161956X.2023.2261318>",2023,2023,"Hodge, E. M., Rosenberg, J. M., & López, F. A",https://www.tandfonline.com/doi/full/10.1080/0161956X.2023.2261318,10.1080/0161956X.2023.2261318,"""We Don't Teach Critical Race Theory Here"": A sentiment analysis of K-12 school and district social media Statements",Peabody Journal of Education,NA
articles-published-in-refereed-journals-017,Articles Published in Refereed Journals,17,"Garner, A. V., & Rosenberg, J. (2023). Utilizing iNaturalist to support place-based learning and data analysis. *Science Scope, 46*(7), 54-60. <https://www.nsta.org/science-scope/science-scope-fall-2023/using-inaturalist-support-place-based-learning-and-data>",2023,2023,"Garner, A. V., & Rosenberg, J",https://www.nsta.org/science-scope/science-scope-fall-2023/using-inaturalist-support-place-based-learning-and-data,NA,Utilizing iNaturalist to support place-based learning and data analysis,"Science Scope, 46",NA
articles-published-in-refereed-journals-018,Articles Published in Refereed Journals,18,"Rosenberg, J. M. (2023). Open and useful? Exploring the science education resources on OER Commons. *Contemporary Issues in Technology and Teacher Education, 23*(3), 490-507. <https://citejournal.org/wp-content/uploads/2023/07/v23i3Science2.pdf>",2023,2023,"Rosenberg, J. M",https://citejournal.org/wp-content/uploads/2023/07/v23i3Science2.pdf,NA,Open and useful?,Exploring the science education resources on OER Commons,NA
articles-published-in-refereed-journals-019,Articles Published in Refereed Journals,19,"Borchers, C., Rosenberg, J. M., & Swartzentruber, R. M. (2023). Facebook post data: a primer for educational research. *Educational Technology Research and Development*, 1-20. <https://link.springer.com/article/10.1007/s11423-023-10269-2>",2023,2023,"Borchers, C., Rosenberg, J. M., & Swartzentruber, R. M",https://link.springer.com/article/10.1007/s11423-023-10269-2,10.1007/s11423-023-10269-2,Facebook post data: a primer for educational research,Educational Technology Research and Development,NA
articles-published-in-refereed-journals-020,Articles Published in Refereed Journals,20,"Rosenberg, J. M., Beymer, P. N., Phun, V., & Schmidt, J. A. (2023). Using intensive longitudinal methods to quantify the sources of variability for situational engagement in science learning environments. *International Journal of STEM Education, 10*(1), 68. <https://link.springer.com/article/10.1186/s40594-023-00449-0>",2023,2023,"Rosenberg, J. M., Beymer, P. N., Phun, V., & Schmidt, J. A",https://link.springer.com/article/10.1186/s40594-023-00449-0,10.1186/s40594-023-00449-0,Using intensive longitudinal methods to quantify the sources of variability for situational engagement in science learning environments,"International Journal of STEM Education, 10",NA
articles-published-in-refereed-journals-021,Articles Published in Refereed Journals,21,"Kubsch, M., Krist, C., & Rosenberg, J. M. (2023). Distributing Epistemic Functions and Tasks - A framework for augmenting human analytic power with machine learning in science education research. *Journal of Research in Science Teaching*. <https://onlinelibrary.wiley.com/doi/full/10.1002/tea.21803.> *Note.* All authors contributed equally. | NOTE: Recipient of the 2023 Research Worth Reading Award for the Research in Artificial Intelligence in Science Education Research Interest Group, National Association for Research in Science Teaching | NOTE: Recipient of the 2023 GDCP (German Society for the Teaching of Chemistry and Physics) Best Paper Award",2023,2023,"Kubsch, M., Krist, C., & Rosenberg, J. M",https://onlinelibrary.wiley.com/doi/full/10.1002/tea.21803,10.1002/tea.21803,Distributing Epistemic Functions and Tasks - A framework for augmenting human analytic power with machine learning in science education research,Journal of Research in Science Teaching,"Recipient of the 2023 Research Worth Reading Award for the Research in Artificial Intelligence in Science Education Research Interest Group, National Association for Research in Science Teaching | NOTE: Recipient of the 2023 GDCP (German Society for the Teaching of Chemistry and Physics) Best Paper Award"
articles-published-in-refereed-journals-022,Articles Published in Refereed Journals,22,"Carpenter, J. P., Morrison, S. A., Rosenberg, J. M., & Hawthorne, K. A. (2023). Using social media in pre-service teacher education: The case of a program-wide twitter hashtag. *Teaching and Teacher Education, 124*, 1-17. <https://www.sciencedirect.com/science/article/pii/S0742051X23000240>",2023,2023,"Carpenter, J. P., Morrison, S. A., Rosenberg, J. M., & Hawthorne, K. A",https://www.sciencedirect.com/science/article/pii/S0742051X23000240,NA,Using social media in pre-service teacher education: The case of a program-wide twitter hashtag,"Teaching and Teacher Education, 124",NA
articles-published-in-refereed-journals-023,Articles Published in Refereed Journals,23,"Rosenberg, J., \^Borchers, C., Stegenga, S. M., \^Burchfield, M. A., Anderson, D., & Fischer, C. (2022). How educational institutions reveal students' personally identifiable information on Facebook. *Learning, Media, & Technology.* <https://www.tandfonline.com/doi/full/10.1080/17439884.2022.2140672>",2022,2022,"Rosenberg, J., \^Borchers, C., Stegenga, S. M., \^Burchfield, M. A., Anderson, D., & Fischer, C",https://www.tandfonline.com/doi/full/10.1080/17439884.2022.2140672,10.1080/17439884.2022.2140672,How educational institutions reveal students' personally identifiable information on Facebook,"Learning, Media, & Technology",NA
articles-published-in-refereed-journals-024,Articles Published in Refereed Journals,24,"Rosenberg, J. M., \^Borchers, C., \^Burchfield, M. A., Anderson, D., Stegenga, S. M., & Fischer, C. (2022). Posts about students on Facebook: A data ethics perspective. *Educational Researcher, 51*(8), 547-550. <https://journals.sagepub.com/doi/full/10.3102/0013189X221120538>",2022,2022,"Rosenberg, J. M., \^Borchers, C., \^Burchfield, M. A., Anderson, D., Stegenga, S. M., & Fischer, C",https://journals.sagepub.com/doi/full/10.3102/0013189X221120538,10.3102/0013189X221120538,Posts about students on Facebook: A data ethics perspective,"Educational Researcher, 51",NA
articles-published-in-refereed-journals-025,Articles Published in Refereed Journals,25,"Rosenberg, J. M., Kubsch, M., Wagenmakers, E.-J., & Dogucu, M. (2022). Making sense of uncertainty in the science classroom: A Bayesian approach. *Science & Education*, 31, 1239–1262. <https://link.springer.com/article/10.1007/s11191-022-00341-3>",2022,2022,"Rosenberg, J. M., Kubsch, M., Wagenmakers, E.-J., & Dogucu, M",https://link.springer.com/article/10.1007/s11191-022-00341-3,10.1007/s11191-022-00341-3,Making sense of uncertainty in the science classroom: A Bayesian approach,Science & Education,NA
